




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	ATX345-marked_gened.txt (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	BINOMIAL
Correction:	BONFERRONI
Bonferroni count:	2773
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	ATX345-marked_gened.txt (2946)	ATX345-marked_gened.txt (expected)	ATX345-marked_gened.txt (over/under)	ATX345-marked_gened.txt (fold Enrichment)	ATX345-marked_gened.txt (P-value)
macromolecule metabolic process (GO:0043170)	5274	364	565.50	-	.64	5.13E-20
protein metabolic process (GO:0019538)	3086	212	330.90	-	.64	3.18E-10
cellular biosynthetic process (GO:0044249)	3307	223	354.59	-	.63	4.16E-12
cellular component biogenesis (GO:0044085)	1316	85	141.11	-	.60	3.67E-04
cellular macromolecule localization (GO:0070727)	716	43	76.77	-	.56	4.34E-02
nitrogen compound transport (GO:0071705)	720	43	77.20	-	.56	3.55E-02
protein localization (GO:0008104)	686	36	73.56	-	.49	1.99E-03
cellular component assembly (GO:0022607)	828	43	88.78	-	.48	1.00E-04
proteolysis (GO:0006508)	755	38	80.95	-	.47	1.60E-04
vesicle-mediated transport (GO:0016192)	521	26	55.86	-	.47	1.56E-02
protein catabolic process (GO:0030163)	610	30	65.41	-	.46	1.75E-03
macromolecule biosynthetic process (GO:0009059)	2393	117	256.59	-	.46	9.92E-21
cellular localization (GO:0051641)	985	48	105.62	-	.45	4.18E-07
protein-containing complex organization (GO:0043933)	861	41	92.32	-	.44	2.81E-06
protein-containing complex assembly (GO:0065003)	514	24	55.11	-	.44	4.67E-03
proteolysis involved in protein catabolic process (GO:0051603)	588	27	63.05	-	.43	5.64E-04
RNA biosynthetic process (GO:0032774)	1096	50	117.52	-	.43	2.06E-09
organonitrogen compound biosynthetic process (GO:1901566)	1392	62	149.26	-	.42	3.53E-13
nucleic acid biosynthetic process (GO:0141187)	1123	50	120.41	-	.42	3.52E-10
organelle organization (GO:0006996)	1399	61	150.01	-	.41	8.77E-14
nucleobase-containing compound biosynthetic process (GO:0034654)	1336	57	143.25	-	.40	1.45E-13
ubiquitin-dependent protein catabolic process (GO:0006511)	472	20	50.61	-	.40	2.00E-03
organophosphate biosynthetic process (GO:0090407)	355	15	38.06	-	.39	4.67E-02
protein transport (GO:0015031)	478	20	51.25	-	.39	1.33E-03
modification-dependent protein catabolic process (GO:0019941)	486	20	52.11	-	.38	7.73E-04
modification-dependent macromolecule catabolic process (GO:0043632)	489	20	52.43	-	.38	6.29E-04
organophosphate metabolic process (GO:0019637)	597	24	64.01	-	.37	1.89E-05
RNA metabolic process (GO:0016070)	1452	58	155.69	-	.37	1.17E-16
establishment of protein localization (GO:0045184)	560	22	60.05	-	.37	3.34E-05
nucleic acid metabolic process (GO:0090304)	1884	73	202.01	-	.36	1.75E-23
nucleobase-containing compound metabolic process (GO:0006139)	2301	86	246.72	-	.35	6.00E-31
gene expression (GO:0010467)	1910	70	204.80	-	.34	9.39E-26
DNA metabolic process (GO:0006259)	461	16	49.43	-	.32	6.89E-05
establishment of localization in cell (GO:0051649)	620	21	66.48	-	.32	1.39E-07
establishment of protein localization to organelle (GO:0072594)	267	9	28.63	-	.31	4.86E-02
generation of precursor metabolites and energy (GO:0006091)	401	13	43.00	-	.30	1.96E-04
intracellular transport (GO:0046907)	567	18	60.80	-	.30	2.25E-07
protein maturation (GO:0051604)	286	9	30.67	-	.29	1.13E-02
DNA repair (GO:0006281)	329	10	35.28	-	.28	1.34E-03
nucleobase-containing small molecule metabolic process (GO:0055086)	429	13	46.00	-	.28	2.21E-05
plastid organization (GO:0009657)	302	9	32.38	-	.28	3.21E-03
DNA damage response (GO:0006974)	371	11	39.78	-	.28	1.72E-04
mRNA metabolic process (GO:0016071)	471	13	50.50	-	.26	7.56E-07
translation (GO:0006412)	538	12	57.69	-	.21	6.09E-10
nucleotide metabolic process (GO:0009117)	322	7	34.53	-	.20	3.56E-05
nucleoside phosphate metabolic process (GO:0006753)	333	7	35.71	-	.20	1.36E-05
purine-containing compound metabolic process (GO:0072521)	294	6	31.52	-	.19	8.43E-05
RNA processing (GO:0006396)	838	17	89.85	-	.19	5.85E-18
rRNA metabolic process (GO:0016072)	271	5	29.06	-	.17	1.25E-04
ribonucleotide metabolic process (GO:0009259)	226	4	24.23	-	.17	1.32E-03
ribose phosphate metabolic process (GO:0019693)	235	4	25.20	-	.16	5.79E-04
RNA splicing (GO:0008380)	300	5	32.17	-	.16	8.83E-06
organelle assembly (GO:0070925)	190	3	20.37	-	.15	6.12E-03
photosynthesis (GO:0015979)	196	3	21.02	-	.14	3.50E-03
nucleobase-containing compound catabolic process (GO:0034655)	200	3	21.44	-	.14	2.41E-03
purine ribonucleotide metabolic process (GO:0009150)	201	3	21.55	-	.14	2.19E-03
purine nucleotide metabolic process (GO:0006163)	273	4	29.27	-	.14	1.70E-05
ribosome biogenesis (GO:0042254)	348	5	37.31	-	.13	1.00E-07
RNA modification (GO:0009451)	361	5	38.71	-	.13	2.92E-08
mRNA splicing, via spliceosome (GO:0000398)	221	3	23.70	-	.13	3.32E-04
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	246	3	26.38	-	.11	3.04E-05
RNA splicing, via transesterification reactions (GO:0000375)	246	3	26.38	-	.11	3.04E-05
rRNA processing (GO:0006364)	247	3	26.48	-	.11	2.76E-05
mRNA processing (GO:0006397)	331	4	35.49	-	.11	6.70E-08
ribonucleoprotein complex biogenesis (GO:0022613)	425	5	45.57	-	.11	6.20E-11
protein-RNA complex assembly (GO:0022618)	136	1	14.58	-	.07	1.94E-02
protein-RNA complex organization (GO:0071826)	141	1	15.12	-	.07	1.17E-02
