GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	v1_109	v1_109-Q	v1_110	v1_110-Q	v1_111	v1_111-Q	v1_119	v1_119-Q	v1_120	v1_120-Q	v1_121	v1_121-Q	v1_122	v1_122-Q
	AthEX0005125	chr2:15607904-15608028	125	chr2:15608307,15607904-15608028,15605993	C2	24.29	VLOW,VLOW,1=6=11,B2,C2@4.37,13.63	18.18	N,N,0=4=9,Bn,C2@2.36,10.64	9.09	N,N,0=1=5,Bn,C1@0.55,5.45	0.00	OK,OK,0=0=25,Bn,S@0.00,25.00	0.00	LOW,LOW,0=0=18,Bn,S@0.00,18.00	12.00	OK,OK,0=6=22,Bn,C2@3.36,24.64	9.09	VLOW,VLOW,0=2=10,Bn,C1@1.09,10.91
	AthEX0006986	chr3:7685387-7685979	593	chr3:7684984,7685387-7685979,7686174	S	11.11	LOW,LOW,4=0=16,Bn,S@2.22,17.78	12.00	OK,OK,9=0=33,Bn,S@5.04,36.96	9.85	OK,OK,6=1=32,B2,S@3.84,35.16	19.10	OK,OK,17=0=36,B3,S@10.12,42.88	20.00	OK,OK,17=0=34,B3,S@10.20,40.80	18.33	OK,OK,10=2=27,B1,S@7.15,31.85	26.98	OK,OK,17=0=23,B3,S@10.79,29.21
	AthEX0007109	chr3:8887515-8887864	350	chr3:8888371,8887515-8887864,8886874	C2	42.88	OK,OK,6=29=24,B1,C2@25.30,33.70	43.02	OK,OK,9=35=30,B1,C2@31.83,42.17	7.44	SOK,SOK,7=20=173,B1,C1@14.88,185.12	12.18	OK,OK,0=7=26,Bn,C2@4.02,28.98	9.01	OK,OK,1=4=26,B1,C1@2.79,28.21	18.08	OK,OK,5=22=63,B1,C2@16.27,73.73	14.65	OK,OK,5=11=48,B1,C1@9.38,54.62
	AthEX0007110	chr3:8887323-8887442	120	chr3:8888371,8887313+8887323-8887442,8886874	C2	38.35	OK,OK,29=0=24,B3,C3@20.33,32.67	37.52	OK,OK,35=0=30,B3,C3@24.39,40.61	5.62	SOK,SOK,20=0=173,B3,C1@10.85,182.15	12.18	OK,OK,7=0=26,Bn,C2@4.02,28.98	7.34	OK,OK,4=0=26,Bn,C1@2.20,27.80	15.24	OK,OK,22=0=63,B3,C2@12.95,72.05	10.56	OK,OK,11=0=48,Bl,C1@6.23,52.77
	AthEX0007543	chr3:17116984-17117004	21	chr3:17116354,17116984-17117004,17118273	C2	53.79	SOK,SOK,39=20=92,OK,C2@81.22,69.78	48.99	OK,SOK,28=7=59,OK,C2@46.05,47.95	35.38	SOK,SOK,26=5=86,B1,C1@41.39,75.61	37.27	SOK,SOK,39=3=101,B2,C1@53.30,89.70	36.95	SOK,SOK,29=5=91,B1,C2@46.19,78.81	28.87	OK,OK,7=2=39,OK,C2@13.86,34.14	28.81	SOK,SOK,22=5=104,OK,C1@37.74,93.26
PRA1B1	AthEX0028244	chr3:20821858-20821925	68	chr3:20822195,20821858-20821925,20820470	S	30.77	LOW,LOW,11=5=18,B1,S@10.46,23.54	29.41	VLOW,VLOW,8=2=12,B1,S@6.47,15.53	10.59	OK,OK,5=4=38,OK,S@4.98,42.02	8.70	OK,OK,2=2=21,OK,S@2.17,22.82	10.71	OK,OK,3=3=25,OK,S@3.32,27.68	10.00	OK,OK,1=5=27,B1,S@3.30,29.70	7.94	OK,OK,2=3=29,OK,S@2.70,31.30
PLDGAMMA2	AthEX0027798	chr4:7119164-7119344	181	chr4:7120374,7119164-7119344,7118311+7118315	C2	75.69	OK,SOK,32=40=17,OK,C3@67.36,21.64	86.94	OK,SOK,21=50=7,OK,C3@67.81,10.19	50.37	OK,OK,10=20=20,OK,C2@25.18,24.82	71.99	OK,SOK,28=40=19,OK,C3@62.63,24.37	66.76	SOK,SOK,29=53=27,OK,C3@72.77,36.23	78.86	SOK,SOK,45=64=21,OK,C3@102.52,27.48	55.44	OK,OK,13=23=20,OK,C2@31.05,24.95
	AthEX0013415	chr5:22917460-22917553	94	chr5:22916813+22916953,22917460-22917553,22917620+22917636	C2	80.49	LOW,LOW,10=23=4,B1,C2@29.78,7.22	93.75	LOW,LOW,15=15=1,OK,C2@29.06,1.94	78.72	VLOW,VLOW,9=28=5,B1,C2@33.06,8.94	62.50	LOW,LOW,12=18=9,OK,C2@24.38,14.62	94.12	LOW,LOW,10=22=1,B1,C2@31.06,1.94	87.23	LOW,LOW,27=14=3,OK,C3@38.38,5.62	64.44	VLOW,VLOW,8=21=8,B1,C2@23.84,13.16
	AthEX0000383	chr1:2185391-2185436	46	chr1:2185175,2185391-2185436,2185856	C3	14.29	LOW,LOW,4=1=15,B1,C3@2.86,17.14	34.38	OK,OK,13=9=21,OK,C3@14.78,28.22	25.00	LOW,LOW,2=8=15,B1,C3@6.25,18.75	46.67	N,N,7=7=8,OK,C3@10.27,11.73	25.42	OK,OK,9=6=22,OK,C3@9.41,27.59	28.21	OK,OK,13=9=28,OK,C3@14.11,35.89	33.33	VLOW,VLOW,8=6=14,OK,C3@9.33,18.67
	AthEX0000589	chr1:3628965-3628972	8	chr1:3628229,3628965-3628972,3629098	S	69.41	OK,SOK,0=7=54,B3,S@42.34,18.66	0.00	OK,OK,0=0=50,Bn,S@0.00,50.00	0.00	OK,OK,0=0=66,Bn,S@0.00,66.00	64.42	OK,SOK,0=6=58,B3,S@41.23,22.77	59.04	OK,SOK,0=7=85,B3,S@54.32,37.68	55.91	OK,SOK,0=5=69,B3,S@41.37,32.63	33.33	OK,SOK,0=2=70,B3,S@24.00,48.00
ALA12	AthEX0015333	chr1:9033461-9033484	24	chr1:9033327,9033461-9033484,9033583	S	48.15	VLOW,VLOW,0=26=14,B3,S@19.26,20.74	73.39	N,N,1=20=4,B2,S@18.35,6.65	72.20	VLOW,LOW,6=24=7,OK,S@26.71,10.29	92.47	N,N,2=45=2,B2,S@45.31,3.69	76.46	VLOW,OK,8=29=7,OK,S@33.64,10.36	69.61	N,VLOW,4=33=9,B1,S@32.02,13.98	96.11	VLOW,LOW,7=35=1,B1,S@41.33,1.67
	AthEX0003115	chr1:26403599-26403627	29	chr1:26403319,26403599-26403627,26403715	S	35.65	OK,OK,3=34=35,B2,S@25.67,46.33	13.26	OK,OK,1=14=51,B2,S@8.75,57.25	18.56	OK,OK,5=8=35,OK,S@8.91,39.09	21.94	OK,OK,4=15=38,B1,S@12.51,44.49	8.92	OK,OK,2=7=52,B1,S@5.44,55.56	13.54	OK,OK,1=10=37,B2,S@6.50,41.50	10.58	OK,OK,1=10=49,B2,S@6.35,53.65
MEE22	AthEX0024836	chr2:14669035-14669080	46	chr2:14668911,14669035-14669080,14669190	S	17.65	OK,OK,2=7=21,B1,S@5.29,24.71	41.82	LOW,LOW,6=17=16,B1,S@16.31,22.69	36.36	OK,OK,11=13=21,OK,S@16.36,28.64	38.71	LOW,LOW,6=18=19,B1,S@16.65,26.35	31.51	OK,OK,7=16=25,B1,S@15.12,32.88	46.03	LOW,LOW,5=24=17,B1,S@21.17,24.83	40.35	LOW,LOW,14=9=17,OK,S@16.14,23.86
	AthEX0005034	chr2:14890286-14890362	77	chr2:14890462,14890286-14890362,14890209	S	81.82	OK,OK,19=26=5,OK,S@40.91,9.09	93.10	OK,OK,24=30=2,OK,S@52.14,3.86	84.62	LOW,LOW,21=12=3,OK,S@30.46,5.54	84.21	VLOW,VLOW,9=23=3,B1,S@29.47,5.53	93.33	OK,OK,34=50=3,OK,S@81.20,5.80	91.89	OK,OK,26=42=3,OK,S@65.24,5.76	97.47	OK,OK,20=57=1,B1,S@76.03,1.97
	AthEX0005308	chr2:16679173-16679203	31	chr2:16679378,16679173-16679203,16679015	C3	46.43	LOW,LOW,0=26=15,B3,C2@19.04,21.96	85.71	N,N,0=24=2,B3,C1@22.28,3.72	15.25	OK,OK,0=9=25,Bn,C3@5.18,28.82	51.02	VLOW,VLOW,0=25=12,B3,C2@18.88,18.12	25.64	OK,OK,0=20=29,B3,C3@12.56,36.44	47.28	OK,OK,1=38=22,B2,C2@28.84,32.16	18.52	OK,OK,0=10=22,Bl,C3@5.93,26.07
LPP3	AthEX0024337	chr3:551705-551718	14	chr3:551584,551705-551718,551800	C3	6.56	OK,OK,0=2=79,Bl,C3@5.31,75.69	19.19	OK,OK,6=0=60,B3,C3@12.67,53.33	31.41	OK,OK,5=1=32,B1,C3@11.94,26.06	0.00	OK,OK,0=0=56,Bn,C3@0.00,56.00	27.31	OK,OK,5=3=54,OK,C3@16.93,45.07	8.58	OK,OK,1=1=55,OK,C3@4.89,52.11	30.31	OK,SOK,10=1=61,B2,C3@21.82,50.18
	AthEX0007019	chr3:8312157-8312200	44	chr3:8312086,8312157-8312200,8312275	C1	91.20	OK,OK,16=25=2,OK,C1@39.22,3.78	86.92	VLOW,VLOW,20=6=2,B1,C1@24.34,3.66	84.46	LOW,LOW,14=20=3,OK,C1@31.25,5.75	88.73	OK,OK,30=19=3,OK,C1@46.14,5.86	82.71	OK,OK,28=19=5,OK,C1@43.01,8.99	81.36	OK,OK,22=21=5,OK,C1@39.05,8.95	60.79	LOW,LOW,18=13=10,OK,C1@24.92,16.08
